Temperature,Relative Humidity,Soil moisture,Irrigate?
36,34,805,No
31,34,782,No
28,74,827,No
27,77,620,No
28,72,751,No
19,75,760,Yes
25,61,712,No
25,69,684,No
32,45,800,No
18,64,616,Yes
27,66,636,Yes
22,77,835,No
30,42,768,No
38,43,771,No
12,48,904,No
24,68,743,Yes
18,71,701,Yes
20,73,675,Yes
26,65,678,No
19,65,736,Yes
18,77,770,Yes
22,77,750,Yes
19,77,709,Yes
19,77,693,Yes
26,79,714,No
18,63,841,No
35,54,770,No
26,74,826,No
19,63,764,No
21,64,737,Yes
24,64,670,Yes
12,42,916,No
20,79,726,Yes
32,26,809,No
21,75,617,Yes
37,60,830,No
14,26,835,No
23,69,825,No
33,55,799,No
19,59,816,No
21,78,787,No
13,57,848,No
22,63,681,Yes
30,45,766,No
24,73,712,No
10,34,878,No
20,65,715,Yes
38,46,770,No
33,56,816,No
25,71,833,No
15,31,912,No
19,59,834,No
12,66,782,Yes
20,67,701,Yes
18,79,731,Yes
21,58,810,No
25,78,734,No
22,79,739,Yes
20,65,758,Yes
37,36,764,No
23,63,812,No
27,71,683,No
18,33,783,Yes
21,73,745,Yes
21,75,725,Yes
25,63,733,No
21,74,783,Yes
23,79,824,No
27,71,684,No
27,76,712,No
22,74,740,Yes
28,66,712,No
19,61,702,Yes
23,63,783,No
26,72,689,No
12,57,916,No
18,71,757,Yes
13,38,911,No
19,74,608,Yes
38,75,808,No
23,70,755,No
28,65,621,No
19,66,695,Yes
20,69,710,Yes
38,31,780,No
20,49,825,No
31,51,819,No
19,75,689,Yes
17,56,888,No
20,66,742,Yes
20,68,740,Yes
22,72,749,Yes
22,74,679,Yes
33,42,777,No
22,72,642,Yes
12,29,786,Yes
25,69,730,No
27,62,746,No
27,71,688,No
22,67,692,Yes
18,46,899,No
30,51,829,No
18,75,731,Yes
24,77,667,No
19,62,699,Yes
32,27,804,No
16,30,913,No
18,58,788,Yes
20,69,781,Yes
25,70,685,No
12,49,913,No
25,65,725,No
18,74,836,No
26,78,743,No
12,31,789,Yes
22,60,774,No
28,77,653,No
31,60,770,No
11,29,848,No
35,27,806,No
19,61,696,Yes
17,44,889,No
18,59,731,Yes
18,80,786,No
20,62,725,Yes
22,71,754,Yes
11,66,771,No
22,70,757,Yes
27,67,768,No
18,76,618,Yes
21,66,830,No
26,73,751,No
23,67,707,No
27,61,718,No
21,80,773,Yes
33,59,815,No
28,68,693,Yes
12,59,817,No
22,73,725,Yes
13,50,920,No
24,59,739,No
31,46,802,No
22,76,649,Yes
27,73,698,No
23,78,719,No
27,60,718,No
19,69,653,Yes
19,79,718,Yes
22,72,693,Yes
20,80,788,Yes
20,75,688,Yes
21,64,719,Yes
21,58,619,Yes
19,74,700,Yes
38,54,818,No
27,58,701,No
11,47,908,No
36,29,827,No
27,76,737,No
18,70,645,Yes
23,65,731,No
13,33,831,Yes
27,59,653,Yes
19,77,749,Yes
23,68,717,No
20,77,779,No
22,60,744,Yes
12,38,843,Yes
8,36,869,No
31,40,779,No
12,54,822,No
23,58,773,No
37,25,806,No
24,78,699,Yes
19,65,722,Yes
30,31,816,No
33,60,768,No
19,35,882,No
28,58,749,No
13,67,832,No
14,52,848,No
18,78,720,Yes
38,29,771,No
25,69,800,No
18,74,774,No
15,51,895,No
27,80,689,No
26,61,761,No
24,59,697,Yes
38,56,761,No
17,48,859,No
18,58,730,Yes
14,73,768,Yes
15,77,829,No
27,66,710,No
27,77,748,No
28,80,783,No
23,78,791,No
19,62,682,Yes
36,54,775,No
35,47,797,No
27,76,696,No
36,57,840,No
32,53,807,No
28,80,699,No
22,76,604,Yes
22,69,718,No
21,63,763,Yes
30,60,784,No
28,76,666,No
23,77,725,No
26,66,695,Yes
19,56,794,No
21,80,727,Yes
20,77,763,Yes
22,80,752,Yes
22,69,751,No
17,65,667,Yes
20,70,694,Yes
25,70,759,No
26,59,706,Yes
11,39,855,No
12,60,781,Yes
38,36,796,No
23,65,742,No
31,30,830,No
20,69,693,Yes
23,67,736,Yes
25,77,709,No
22,78,682,No
21,78,686,Yes
19,68,758,Yes
37,64,830,No
16,55,858,No
23,78,709,No
19,73,762,Yes
27,63,747,No
20,63,816,No
20,76,789,Yes
24,70,810,No
24,61,720,No
26,69,758,No
36,31,832,No
23,62,747,Yes
37,46,831,No
32,49,771,No
19,63,774,Yes
25,79,794,No
18,74,690,Yes
25,80,629,Yes
15,25,805,Yes
25,62,732,No
25,68,704,Yes
30,54,837,No
34,57,827,No
18,74,749,No
19,58,735,Yes
25,73,707,Yes
19,77,714,Yes
23,58,741,Yes
31,43,794,No
22,70,669,Yes
9,47,843,No
20,64,668,Yes
24,78,707,Yes
10,57,870,No
11,39,874,No
25,76,739,No
13,29,858,No
12,48,814,No
21,69,831,No
20,60,733,Yes
13,60,774,Yes
19,52,841,No
18,80,609,Yes
21,70,634,Yes
18,65,607,Yes
21,58,758,Yes
30,41,820,No
16,38,780,Yes
26,79,695,No
33,35,787,No
24,73,750,Yes
19,39,802,Yes
23,76,811,No
33,31,780,Yes
22,63,692,Yes
17,74,819,Yes
25,74,704,Yes
11,31,851,No
28,60,685,No
14,43,786,Yes
23,77,807,No
15,38,846,No
22,79,742,Yes
26,75,785,No
27,75,744,No
25,60,683,No
27,68,750,No
28,79,756,No
20,76,797,Yes
19,69,733,Yes
17,47,852,No
15,76,840,No
20,78,693,Yes
35,36,765,No
9,45,907,No
26,60,764,No
27,78,661,No
37,41,806,No
21,62,798,No
23,71,603,No
19,76,806,No
26,61,689,No
25,78,780,No
11,63,683,Yes
18,75,696,Yes
26,68,735,No
18,59,873,No
18,65,749,No
21,71,821,Yes
19,79,718,Yes
27,59,710,No
20,76,841,No
26,71,736,No
24,62,771,No
26,78,726,Yes
31,38,812,No
18,61,695,Yes
28,65,724,No
19,49,861,No
15,35,794,No
20,63,753,Yes
15,49,912,No
24,78,682,Yes
27,78,729,No
20,76,696,Yes
19,72,743,Yes
28,70,686,No
20,66,691,Yes
18,75,739,Yes
27,60,711,No
32,43,769,No
25,66,750,No
21,68,828,No
27,71,702,Yes
35,46,834,No
25,74,778,No
15,47,911,No
27,71,737,No
18,66,744,Yes
28,71,767,No
18,64,813,No
20,58,716,Yes
24,66,757,No
16,76,831,No
20,69,817,Yes
35,44,835,No
15,64,830,No
26,73,606,No
13,80,793,Yes
28,73,632,No
31,26,836,No
8,59,868,No
20,58,824,No
35,32,799,No
15,29,895,No
36,56,820,No
20,75,713,Yes
22,73,621,Yes
23,59,826,No
19,80,795,No
20,58,824,Yes
16,25,892,No
13,73,784,No
30,57,831,No
18,71,764,Yes
27,79,688,No
20,59,817,No
21,59,603,Yes
18,68,758,No
27,69,794,No
12,40,843,No
38,34,791,No
19,74,831,No
16,36,876,No
14,79,803,No
11,35,904,No
23,59,686,Yes
11,39,898,No
23,61,756,No
28,70,710,No
19,62,805,Yes
14,50,919,No
27,66,690,No
20,28,797,No
20,77,702,Yes
25,73,736,No
33,27,805,No
26,78,761,No
25,77,627,No
13,59,765,Yes
34,51,823,No
28,70,733,Yes
22,58,778,No
22,75,738,Yes
33,36,790,No
11,26,783,Yes
20,26,862,No
26,72,686,No
25,67,736,No
25,78,742,No
24,79,734,Yes
23,74,707,No
27,75,771,No
11,64,823,Yes
24,74,718,Yes
23,66,760,Yes
25,64,811,No
19,78,650,Yes
26,78,644,Yes
24,71,710,No
27,69,710,No
35,32,831,No
35,39,802,No
22,69,698,Yes
27,72,626,No
19,68,812,No
20,76,664,Yes
29,72,798,No
27,59,665,No
18,74,795,Yes
22,58,796,No
27,76,744,No
18,37,901,No
20,79,819,Yes
36,42,835,No
22,73,813,No
31,35,821,No
24,68,683,Yes
23,67,691,Yes
10,55,899,No
21,72,702,Yes
18,77,691,Yes
22,76,752,Yes
28,76,810,No
15,78,782,No
22,77,709,Yes
22,64,748,No
19,77,667,Yes
21,77,681,Yes
25,60,820,No
17,72,841,No
37,49,837,No
37,47,841,No
26,70,699,Yes
35,51,836,No
26,67,684,No
18,58,784,No
38,50,786,No
33,60,815,No
22,60,758,Yes
20,66,808,Yes
19,62,712,Yes
27,60,669,Yes
29,78,815,No
24,69,722,Yes
30,75,827,No
27,59,765,No
19,71,751,Yes
19,48,853,No
37,50,783,No
18,29,768,Yes
18,60,840,No
12,45,842,No
20,63,733,Yes
35,27,779,No
27,60,706,No
25,76,700,Yes
18,80,819,Yes
22,66,839,No
27,59,716,No
27,73,800,No
27,64,795,No
28,69,777,No
30,26,807,No
27,78,743,No
23,63,806,No
36,53,827,No
20,80,757,Yes
21,61,691,Yes
30,35,803,No
28,73,726,No
20,69,750,Yes
20,66,732,Yes
32,43,773,No
18,64,745,Yes
19,73,762,Yes
28,78,645,No
21,72,716,Yes
17,67,833,No
18,77,694,Yes
22,75,777,No
22,66,805,No
25,78,704,Yes
15,69,804,No
23,73,838,No
19,35,869,No
30,42,829,No
26,60,712,No
27,58,743,No
28,79,617,No
33,54,764,No
19,77,665,Yes
19,72,683,Yes
22,68,747,Yes
24,66,828,No
19,66,729,Yes
17,51,903,No
20,68,811,Yes
18,78,790,No
28,61,634,No
22,60,781,Yes
26,73,683,Yes
25,75,747,No
20,58,690,Yes
23,69,836,No
18,68,706,Yes
25,63,817,No
28,60,632,Yes
20,70,814,Yes
21,58,774,No
10,69,835,No
23,80,729,Yes
30,26,809,No
33,26,840,No
28,59,677,No
18,66,766,Yes
23,71,805,Yes
20,58,838,No
23,72,679,Yes
